datetime,resolutioncode,fueltypepublication,generatedpower,totalgeneratedpower
2025-03-05T15:30:00+00:00,PT15M,Wind Offshore,34.98,4671.67
2025-03-05T15:30:00+00:00,PT15M,Water,0.64,4671.67
2025-03-05T15:30:00+00:00,PT15M,Solar,26.19,4671.67
2025-03-05T15:30:00+00:00,PT15M,Other Fuel,0,4671.67
2025-03-05T15:30:00+00:00,PT15M,Other,291.73,4671.67
2025-03-05T15:30:00+00:00,PT15M,Nuclear,3480.7,4671.67
2025-03-05T15:30:00+00:00,PT15M,Natural Gas,834.91,4671.67
2025-03-05T15:30:00+00:00,PT15M,Biofuels,0,4671.67
2025-03-05T15:15:00+00:00,PT15M,Wind Onshore,2.81,4540.71
2025-03-05T15:15:00+00:00,PT15M,Wind Offshore,40.39,4540.71
2025-03-05T15:15:00+00:00,PT15M,Water,0.6,4540.71
2025-03-05T15:15:00+00:00,PT15M,Solar,31.27,4540.71
2025-03-05T15:15:00+00:00,PT15M,Other Fuel,0,4540.71
2025-03-05T15:15:00+00:00,PT15M,Other,292.49,4540.71
2025-03-05T15:15:00+00:00,PT15M,Nuclear,3480.38,4540.71
2025-03-05T15:15:00+00:00,PT15M,Natural Gas,692.77,4540.71
2025-03-05T15:15:00+00:00,PT15M,Biofuels,0,4540.71
2025-03-05T15:00:00+00:00,PT15M,Wind Onshore,2.51,4459.27
2025-03-05T15:00:00+00:00,PT15M,Wind Offshore,56.41,4459.27
2025-03-05T15:00:00+00:00,PT15M,Water,0.59,4459.27
2025-03-05T15:00:00+00:00,PT15M,Solar,27.89,4459.27
2025-03-05T15:00:00+00:00,PT15M,Other Fuel,0,4459.27
2025-03-05T15:00:00+00:00,PT15M,Other,293.57,4459.27
2025-03-05T15:00:00+00:00,PT15M,Nuclear,3480.91,4459.27
2025-03-05T15:00:00+00:00,PT15M,Natural Gas,597.39,4459.27
2025-03-05T15:00:00+00:00,PT15M,Biofuels,0,4459.27
